timestamp,predicted_pm25,ispu_value,ews_category,ews_action
2026-01-05 10:00:00,45.02,87,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-05 11:00:00,39.91,81,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-05 12:00:00,38.52,79,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-05 13:00:00,39.29,80,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-05 14:00:00,41.22,83,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-05 15:00:00,43.5,85,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-05 16:00:00,46.63,89,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-05 17:00:00,48.76,92,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-05 18:00:00,50.57,94,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-05 19:00:00,51.08,95,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-05 20:00:00,52.14,96,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-05 21:00:00,52.35,96,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-05 22:00:00,53.53,98,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-05 23:00:00,53.83,98,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-06 00:00:00,55.28,100,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-06 01:00:00,56.27,102,Tidak Sehat,PENTING: Kurangi aktivitas fisik berat di luar ruangan. Gunakan masker jika harus keluar.
2026-01-06 02:00:00,58.17,104,Tidak Sehat,PENTING: Kurangi aktivitas fisik berat di luar ruangan. Gunakan masker jika harus keluar.
2026-01-06 03:00:00,59.67,105,Tidak Sehat,PENTING: Kurangi aktivitas fisik berat di luar ruangan. Gunakan masker jika harus keluar.
2026-01-06 04:00:00,61.69,108,Tidak Sehat,PENTING: Kurangi aktivitas fisik berat di luar ruangan. Gunakan masker jika harus keluar.
2026-01-06 05:00:00,63.18,109,Tidak Sehat,PENTING: Kurangi aktivitas fisik berat di luar ruangan. Gunakan masker jika harus keluar.
2026-01-06 06:00:00,64.61,111,Tidak Sehat,PENTING: Kurangi aktivitas fisik berat di luar ruangan. Gunakan masker jika harus keluar.
2026-01-06 07:00:00,64.06,110,Tidak Sehat,PENTING: Kurangi aktivitas fisik berat di luar ruangan. Gunakan masker jika harus keluar.
2026-01-06 08:00:00,60.07,106,Tidak Sehat,PENTING: Kurangi aktivitas fisik berat di luar ruangan. Gunakan masker jika harus keluar.
2026-01-06 09:00:00,52.65,97,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-06 10:00:00,45.15,87,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-06 11:00:00,40.02,81,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-06 12:00:00,38.61,79,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-06 13:00:00,39.37,80,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-06 14:00:00,41.31,83,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-06 15:00:00,43.61,86,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-06 16:00:00,46.72,89,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-06 17:00:00,48.82,92,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-06 18:00:00,50.64,94,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-06 19:00:00,51.18,95,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-06 20:00:00,52.26,96,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-06 21:00:00,52.48,96,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-06 22:00:00,53.67,98,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
2026-01-06 23:00:00,53.97,98,Sedang,Kualitas udara sedang. Kelompok sensitif sebaiknya mengurangi aktivitas fisik berat.
